H_NIVO.NUM_POSTE;H_NIVO.ALTI_LPNX;H_NIVO.DAT
5139405;1500;2022-02-21 12:00:00
5139405;1500;2022-02-22 06:00:00
5139405;1500;2022-03-13 06:00:00
5139405;1500;2022-03-13 12:00:00
5139405;1500;2022-03-14 06:00:00
5139405;2200;2022-03-15 06:00:00
5139405;1900;2022-03-20 12:00:00
5139405;1600;2022-03-21 06:00:00
5139405;2000;2022-03-30 06:00:00
5139405;2000;2022-03-30 12:00:00
5139405;1500;2022-04-02 06:00:00
5139405;1500;2022-04-03 06:00:00
5139405;1500;2022-04-04 06:00:00
5139405;1600;2022-04-07 06:00:00
5139405;2500;2022-04-09 06:00:00
5139405;1500;2022-04-10 06:00:00
5157400;1700;2021-12-25 06:00:00
5157400;2000;2022-01-09 06:00:00
5157400;2000;2022-02-21 06:00:00
5157400;1600;2022-03-15 06:00:00
5157400;2000;2022-03-20 06:00:00
5177402;2250;2021-12-24 06:00:00
5177402;1600;2021-12-25 12:00:00
5177402;1600;2021-12-26 06:00:00
5177402;1500;2021-12-28 06:00:00
5177402;2200;2021-12-29 06:00:00
5177402;1000;2022-01-08 06:00:00
5177402;1000;2022-01-09 06:00:00
5177402;1600;2022-01-09 12:00:00
5177402;1300;2022-02-14 06:00:00
5177402;1300;2022-02-14 12:00:00
5177402;1650;2022-02-21 06:00:00
5177402;1000;2022-02-22 06:00:00
5177402;1700;2022-03-11 12:00:00
5177402;1650;2022-03-12 06:00:00
5177402;1650;2022-03-12 12:00:00
5177402;1500;2022-03-13 06:00:00
5177402;1500;2022-03-13 12:00:00
5177402;2000;2022-03-30 06:00:00
5177402;1600;2022-03-30 12:00:00
5177402;1600;2022-03-31 06:00:00
5177402;2000;2022-04-01 06:00:00
5177402;1800;2022-04-01 12:00:00
5177402;1200;2022-04-02 06:00:00
5177402;1500;2022-04-02 12:00:00
5177402;1500;2022-04-03 06:00:00
5177402;1500;2022-04-03 12:00:00
5177402;1400;2022-04-04 06:00:00
5177402;1900;2022-04-07 06:00:00
5177402;1900;2022-04-07 12:00:00
5177402;2200;2022-04-08 06:00:00
5177402;2200;2022-04-08 12:00:00
5177402;1700;2022-04-09 12:00:00
6056400;2700;2021-08-24 06:00:00
6056400;2000;2021-08-25 06:00:00
6056400;2700;2021-08-26 06:00:00
6056400;1800;2021-09-04 06:00:00
6056400;2600;2021-09-05 06:00:00
6073405;1912;2021-08-04 06:00:00
6073405;1910;2021-09-15 06:00:00
6073405;1910;2021-09-16 06:00:00
6073405;2600;2021-09-21 06:00:00
6073405;1910;2021-11-03 06:00:00
6073405;2000;2021-11-04 06:00:00
6073405;1910;2021-11-10 06:00:00
6073405;1910;2021-11-15 06:00:00
6073405;1100;2021-11-25 06:00:00
6073405;1800;2021-11-26 06:00:00
6073405;1870;2021-12-08 06:00:00
6073405;1910;2021-12-08 12:00:00
6073405;1910;2021-12-09 06:00:00
6073405;1910;2021-12-10 06:00:00
6073405;1910;2021-12-25 12:00:00
6073405;1910;2021-12-26 06:00:00
6073405;1910;2021-12-27 12:00:00
6073405;1800;2021-12-28 06:00:00
6073405;1910;2022-01-09 06:00:00
6073405;1910;2022-02-14 06:00:00
6073405;1910;2022-02-14 12:00:00
6073405;1910;2022-03-05 06:00:00
6073405;1910;2022-03-12 12:00:00
6073405;1910;2022-03-13 06:00:00
6073405;1910;2022-03-13 12:00:00
6073405;1910;2022-03-14 06:00:00
6073405;1910;2022-03-15 06:00:00
6073405;1910;2022-03-30 06:00:00
6073405;1910;2022-03-30 12:00:00
6073405;1910;2022-03-31 06:00:00
6073405;1910;2022-04-01 06:00:00
6073405;1910;2022-04-02 06:00:00
6073405;1910;2022-04-02 12:00:00
6073405;1910;2022-04-03 06:00:00
6073405;1910;2022-04-07 06:00:00
6073405;0;2022-04-08 12:00:00
6073405;1910;2022-04-22 06:00:00
6094400;1600;2021-12-22 06:00:00
6094400;1800;2021-12-25 12:00:00
6094400;1600;2021-12-28 06:00:00
6094400;1450;2022-01-09 06:00:00
6094400;1400;2022-02-14 06:00:00
6094400;1400;2022-02-15 06:00:00
6120400;1600;2021-12-25 06:00:00
6120400;1600;2021-12-27 12:00:00
6120400;1900;2021-12-28 06:00:00
6120400;2000;2022-01-05 06:00:00
6120400;1300;2022-01-09 06:00:00
6120400;1100;2022-02-14 06:00:00
6120400;900;2022-02-14 12:00:00
6120400;900;2022-02-15 06:00:00
6120400;1300;2022-03-13 06:00:00
6120400;1300;2022-03-13 12:00:00
6120400;1000;2022-03-14 06:00:00
6120400;1900;2022-03-15 06:00:00
6120400;1900;2022-03-30 06:00:00
6120400;1900;2022-03-30 12:00:00
6120400;1900;2022-03-31 06:00:00
6120400;1800;2022-04-01 06:00:00
6120400;1300;2022-04-02 06:00:00
6120400;1100;2022-04-02 12:00:00
6120400;1100;2022-04-04 06:00:00
6163400;1550;2021-11-25 06:00:00
9023400;1500;2021-12-27 06:00:00
9023400;1500;2021-12-28 06:00:00
9023400;1500;2021-12-29 06:00:00
9023400;1500;2022-01-06 06:00:00
9023400;1500;2022-01-08 06:00:00
9023400;1500;2022-01-09 06:00:00
9023400;1500;2022-01-10 06:00:00
9023400;1500;2022-01-21 06:00:00
9023400;1500;2022-02-01 06:00:00
9023400;1500;2022-02-02 06:00:00
9023400;1500;2022-02-05 06:00:00
9023400;1500;2022-02-06 06:00:00
9023400;1500;2022-02-14 06:00:00
9023400;1500;2022-02-15 06:00:00
9023400;1500;2022-02-16 06:00:00
9023400;1500;2022-02-19 06:00:00
9023400;1500;2022-02-20 06:00:00
9023400;1500;2022-02-21 06:00:00
9023400;1500;2022-02-22 06:00:00
