Q.dat;Q.num_poste;poste_nivo.nom_usuel;poste_nivo.alti;poste_nivo.lat_dg;poste_nivo.lon_dg;poste_nivo.massif_nivo;Q.rr;hist_reseau_poste.reseau_poste
2022-03-29 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;3.1;51
2022-03-30 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;3.0;51
2022-03-31 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-04-01 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;4.3;51
2022-04-02 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-04-04 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2022-04-05 00:00:00;4019404;Pra Loup;2100;44.360000;6.584667;21;0.0;51
2021-12-10 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;8.5;51
2021-12-11 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-12 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-14 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-18 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-19 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-20 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-21 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-22 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-23 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-26 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-27 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;10.2;51
2021-12-28 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;5.4;51
2021-12-29 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-30 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2021-12-31 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2022-01-01 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2022-01-03 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2022-01-04 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;4.5;51
2022-01-05 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2022-01-06 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.0;51
2022-01-07 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.5;51
2022-01-08 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;6.8;51
2022-01-09 00:00:00;4073400;LE SAUZE;1980;44.343833;6.695000;21;0.8;51
